grade;standard;manufacturer;country;source
2205;AISI, США;;США;csv:Дуплексные стали.csv
S32003;UNS, США;;США;csv:Дуплексные стали.csv
"2205
Sanmac® 2205";AISI, США;;США;csv:Дуплексные стали.csv
S31803;UNS, США;;США;csv:Дуплексные стали.csv
S32205;UNS, США;;США;csv:Дуплексные стали.csv
44LN;AISI, США;;США;csv:Дуплексные стали.csv
S31200;UNS, США;;США;csv:Дуплексные стали.csv
1.4466;EN, Европа;;Европа;csv:Дуплексные стали.csv
DP3;AISI, США;;США;csv:Дуплексные стали.csv
S31260;UNS, США;;США;csv:Дуплексные стали.csv
1.4662;EN, Европа;;Европа;csv:Дуплексные стали.csv
25 Cr;AISI, США;;США;csv:Дуплексные стали.csv
S32506;UNS, США;;США;csv:Дуплексные стали.csv
1.4507;EN, Европа;;Европа;csv:Дуплексные стали.csv
S32520;UNS, США;;США;csv:Дуплексные стали.csv
1.4501;EN, Европа;;Европа;csv:Дуплексные стали.csv
255;AISI, США;;США;csv:Дуплексные стали.csv
S32550;UNS, США;;США;csv:Дуплексные стали.csv
2507;AISI, США;;США;csv:Дуплексные стали.csv
S32750;UNS, США;;США;csv:Дуплексные стали.csv
1.4410;EN, Европа;;Европа;csv:Дуплексные стали.csv
Z100;AISI, США;;США;csv:Дуплексные стали.csv
S32760;UNS, США;;США;csv:Дуплексные стали.csv
S32808;UNS, США;;США;csv:Дуплексные стали.csv
"2507
Safurex®";AISI, США;;США;csv:Дуплексные стали.csv
S32906;UNS, США;;США;csv:Дуплексные стали.csv
1.4477;EN, Европа;;Европа;csv:Дуплексные стали.csv
7MoPLUS;AISI, США;;США;csv:Дуплексные стали.csv
S32950;UNS, США;;США;csv:Дуплексные стали.csv
S39274;UNS, США;;США;csv:Дуплексные стали.csv
S39277;UNS, США;;США;csv:Дуплексные стали.csv
SAF™ 2707 HD;AISI, США;;США;csv:Дуплексные стали.csv
S32707;UNS, США;;США;csv:Дуплексные стали.csv
1.4658;EN, Европа;;Европа;csv:Дуплексные стали.csv
SAF™ 3207 HD;AISI, США;;США;csv:Дуплексные стали.csv
S33207;UNS, США;;США;csv:Дуплексные стали.csv
403;AISI, США;;США;csv:Мартенситные.csv
S40300;UNS, США;;США;csv:Мартенситные.csv
1.4000;EN, Европа;;Европа;csv:Мартенситные.csv
410D;AISI, США;;США;csv:Мартенситные.csv
S41001;UNS, США;;США;csv:Мартенситные.csv
414;AISI, США;;США;csv:Мартенситные.csv
S41400;UNS, США;;США;csv:Мартенситные.csv
F6NM;AISI, США;;США;csv:Мартенситные.csv
S41500;UNS, США;;США;csv:Мартенситные.csv
422;AISI, США;;США;csv:Мартенситные.csv
S42200;UNS, США;;США;csv:Мартенситные.csv
431;AISI, США;;США;csv:Мартенситные.csv
S43100;UNS, США;;США;csv:Мартенситные.csv
1.4057;EN, Европа;;Европа;csv:Мартенситные.csv
CA-6NM;AISI, США;;США;csv:Мартенситные.csv
J91540;UNS, США;;США;csv:Мартенситные.csv
CA-15;AISI, США;;США;csv:Мартенситные.csv
J91150;UNS, США;;США;csv:Мартенситные.csv
CA-40;AISI, США;;США;csv:Мартенситные.csv
J91153;UNS, США;;США;csv:Мартенситные.csv
A387;AISI, США;;США;csv:Мартенситные.csv
Nickel 200;;;;csv:Спец сплавы.csv
N02200;UNS, США;;США;csv:Спец сплавы.csv
Nickel 201;;;;csv:Спец сплавы.csv
N02201;UNS, США;;США;csv:Спец сплавы.csv
Nickel 205;;;;csv:Спец сплавы.csv
N02205;UNS, США;;США;csv:Спец сплавы.csv
Nickel 212;;;;csv:Спец сплавы.csv
Nickel 222;;;;csv:Спец сплавы.csv
MONEL alloy 400;;;;csv:Спец сплавы.csv
N04400;UNS, США;;США;csv:Спец сплавы.csv
2.4360;EN, Европа;;Европа;csv:Спец сплавы.csv
MONEL alloy 500;;;;csv:Спец сплавы.csv
N05500;UNS, США;;США;csv:Спец сплавы.csv
2.4375;EN, Европа;;Европа;csv:Спец сплавы.csv
Cast MONEL alloy;;;;csv:Спец сплавы.csv
INCONEL alloy 600;;;;csv:Спец сплавы.csv
N06600;UNS, США;;США;csv:Спец сплавы.csv
2.4816;EN, Европа;;Европа;csv:Спец сплавы.csv
INCONEL alloy 617;;;;csv:Спец сплавы.csv
N06617;UNS, США;;США;csv:Спец сплавы.csv
2.4663;EN, Европа;;Европа;csv:Спец сплавы.csv
INCONEL alloy 625;;;;csv:Спец сплавы.csv
