grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
LSS A7ModA7Mod;Latrobe, США;Latrobe;США;marki_stalei_check;2,6;;;4,5;0;;;;;0,00-0,005;;;;0;
SK7W1;;;Япония;marki_stalei_check;0,60-0,70;;;0;0;;;;;0,03;0,03;;;0;
WO10PrimaW1;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1,05;;;0;0;;;;;0,03;0,03;;;0;
19192PHW1;;;Чехия;marki_stalei_check;1;;;0,1;0,15;;;;;0,025;0,025;;;0;
T11310M10;;;США;marki_stalei_check;0,84-1,05;;;1,80-2,20;0;;;;;0,03;0,03;;;0;
TNWM10;Latrobe, США;Latrobe;США;marki_stalei_check;0,87;;;1,9;0;;;;;;;;;0;
T11341M41;;;США;marki_stalei_check;1,05-1,15;;;1,75-2,25;6,25-7,00;;;;;0,03;0,03;;;0;
T11344M44;;;США;marki_stalei_check;1,10-1,20;;;1,85-2,20;5,00-5,75;;;;;0,03;0,03;;;0;
WKE42M44;Erasteel, Франция;Erasteel;Франция;marki_stalei_check;1,20-1,35;;;9,00-10,00;3,00-3,50;;;;;0,03;0,03;;;0;
T11346M46;;;США;marki_stalei_check;1,22-1,30;;;3,00-3,30;1,90-2,20;;;;;0,03;0,03;;;0;
T11343M43;;;США;marki_stalei_check;1,15-1,25;;;1,50-1,75;2,25-3,00;;;;;0,03;0,03;;;0;
T11330M30;;;США;marki_stalei_check;0,75-0,85;;;1,00-1,40;1,30-2,30;;;;;0,03;0,03;;;0;
T11333M33;;;США;marki_stalei_check;0,85-0,92;;;1,00-1,35;1,30-2,10;;;;;0,03;0,03;;;0;
T11334M34;;;США;marki_stalei_check;0,85-0,92;;;1,90-2,30;1,40-2,10;;;;;0,03;0,03;;;0;
T11336M36;;;США;marki_stalei_check;0,80-0,90;;;1,75-2,25;5,50-6,50;;;;;0,03;0,03;;;0;
T11347M47;;;США;marki_stalei_check;1,05-1,15;;;1,15-1,35;1,30-1,80;;;;;0,03;0,03;;;0;
Z85WCV 18-04-02T2;;;Франция;marki_stalei_check;0,79;;;2,11;18,15;;;;;0,026;0,035;;;0;
T12002T2;;;США;marki_stalei_check;0,80-0,90;;;1,80-2,40;17,50-19,00;;;;;0,03;0,03;;;0;
T12004T4;;;США;marki_stalei_check;0,70-0,80;;;0,80-1,20;17,50-19,00;;;;;0,03;0,03;;;0;
SKH4T5;;;Япония;marki_stalei_check;0,73-0,83;;;1,00-1,50;17,00-19,00;;;;;0,03;0,03;;;0;
T12005T5;;;США;marki_stalei_check;0,75-0,85;;;1,80-2,40;17,50-19,00;;;;;0,03;0,03;;;0;
T12006T6;;;США;marki_stalei_check;0,75-0,85;;;1,50-2,10;18,50-21,00;;;;;0,03;0,03;;;0;
T12008T8;;;США;marki_stalei_check;0,75-0,85;;;1,80-2,40;13,25-14,75;;;;;0,03;0,03;;;0;
G104201044;;;США;marki_stalei_check;0,43-0,50;;;0;0;;;;;0,05;0,03;;;0;
G108501085;;;США;marki_stalei_check;0,80-0,93;;;0;0;;;;;0,05;0,03;;;0;
G106501065;;;США;marki_stalei_check;0,60-0,70;;;0;0;;;;;0,05;0,03;;;0;
G101801018;;;США;marki_stalei_check;0,15-0,20;;;0;0;;;;;0,05;0,03;;;0;
102Cr6L3;;;Германия;marki_stalei_check;0,95-1,10;;;0;0;;;;;0,025;0,025;;;0;
1.2067L3;;;Германия;marki_stalei_check;0,95-1,10;;;0;0;;;;;0,025;0,025;;;0;
9KH2L3;;;Россия;marki_stalei_check;0,85-0,95;;;0;0;;;;;0,03;0,03;;;0;
9X2L3;;;Россия;marki_stalei_check;0,85-0,95;;;0;0;;;;;0,03;0,03;;;0;
T61203L3;;;США;marki_stalei_check;0,95-1,10;;;0,10-0,30;0;;;;;;;;;0;
PV6L3;Dorrenberg, Германия;Dorrenberg;Германия;marki_stalei_check;1;;;0;0;;;;;;;;;0;
NSKL3;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1;;;0;0;;;;;;;;;0;
Thyrodur2067L3;Thyssen-Krupp, Германия;Thyssen-Krupp;Германия;marki_stalei_check;1;;;0;0;;;;;;;;;0;
G104001040;;;США;marki_stalei_check;0,37-0,44;;;0;0;;;;;0,05;0,03;;;0;
1.4535440C;;;Германия;marki_stalei_check;0,85-0,95;;;0,20-0,30;0;;;;;0,03;0,045;;;0;
RFSh3440C;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;0,9;;;0,23;0;;;;;;;;;0;
G106401064;;;США;marki_stalei_check;0,60-0,70;;;0;0;;;;;0,05;0,04;;;0;
G106901069;;;США;marki_stalei_check;0,65-0,75;;;0;0;;;;;0,05;0,03;;;0;
LO-QPM 30T42;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,3;;;3,2;6,4;;;;;;;;;0;PM
BRUT42;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1,31;;;3,25-3,30;9,50-10,05;;;;;0,005;0,024;;;0;
White SawShirogami Saw;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;0,90-1,00;;;0;0;;;;;0,004;0,025;;;0;
