link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/s500.shtml,"Bohler-Uddeholm S500 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s500_isorapid.shtml,"Bohler-Uddeholm S500 Isorapid Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s53c.shtml,"JIS S53C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s50c.shtml,"JIS S50C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s55c.shtml,"JIS S55C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s590.shtml,"Bohler-Uddeholm S590 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s58c.shtml,"JIS S58C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s590_microclean.shtml,"Bohler-Uddeholm S590 Microclean Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s6-5-2-5.shtml,"DIN S6-5-2-5 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s6-5-2-8.shtml,"DIN S6-5-2-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s6-5-2.shtml,"DIN S6-5-2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s6-7-6-10.shtml,"DIN S6-7-6-10 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s6-5-3.shtml,"DIN S6-5-3 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s6.shtml,"AISI S6 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s600.shtml,"Bohler-Uddeholm S600 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s601.shtml,"Bohler-Uddeholm S601 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s604.shtml,"Bohler-Uddeholm S604 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SW,(SW)
https://zknives.com/knives/steels/s607.shtml,"Bohler-Uddeholm S607 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s60c.shtml,"JIS S60C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s60v.shtml,"Crucible S60V Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
https://zknives.com/knives/steels/s610.shtml,"Bohler-Uddeholm S610 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s620.shtml,"Bohler-Uddeholm S620 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
