grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
OH842,https://zknives.com/knives/steels/oh842.shtml,Metal Ravne,PL,Польша,"Metal Ravne, Словения",Словения,proprietary,country_mismatch
SIHard 2201,https://zknives.com/knives/steels/sihard_2201.shtml,Metal Ravne,PL,Польша,"SIHard, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
ESW,https://zknives.com/knives/steels/esw.shtml,Metal Ravne,PL,Польша,"Ossenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
X120CrWVMo122,https://zknives.com/knives/steels/x120crwvmo122.shtml,Ossenberg,DE,Германия,"DIN X120CRWVMO122, Германия",Германия,government,expected_proprietary_got_government
1.2968,https://zknives.com/knives/steels/1.2968.shtml,Ossenberg,DE,Германия,"DIN 1.2968, Германия",Германия,government,expected_proprietary_got_government
X63CrMoV51So,https://zknives.com/knives/steels/x63crmov51so.shtml,Ossenberg,DE,Германия,,,,missing_standard
1.2362.11,https://zknives.com/knives/steels/1.2362.11.shtml,Ossenberg,DE,Германия,"DIN 1.2362, Германия",Германия,government,expected_proprietary_got_government
Narva5B,https://zknives.com/knives/steels/narva5b.shtml,Ossenberg,DE,Германия,,,,missing_standard
X115CrVMoW83So,https://zknives.com/knives/steels/x115crvmow83so.shtml,,DE,Германия,,,,missing_standard
S9-1-2,https://zknives.com/knives/steels/s9-1-2.shtml,Dirostahl,DE,Германия,,,,missing_standard
1.3316,https://zknives.com/knives/steels/1.3316.shtml,Dirostahl,DE,Германия,"DIN 1.3316, Германия",Германия,government,expected_proprietary_got_government
HS9-1-2,https://zknives.com/knives/steels/hs9-1-2.shtml,Dirostahl,DE,Германия,"ISO HS9-1-2, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
EH00,https://zknives.com/knives/steels/eh00.shtml,Dirostahl,DE,Германия,"Ossenberg, Германия",Германия,proprietary,maker_mismatch
S18-1-2-18,https://zknives.com/knives/steels/s18-1-2-18.shtml,Ossenberg,DE,Германия,,,,missing_standard
1.3990,https://zknives.com/knives/steels/1.3990.shtml,Ossenberg,DE,Германия,"DIN 1.3990, Германия",Германия,government,expected_proprietary_got_government
HS18-1-2-18,https://zknives.com/knives/steels/hs18-1-2-18.shtml,Ossenberg,DE,Германия,"ISO HS18-1-2-18, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
Cobalt 18,https://zknives.com/knives/steels/cobalt_18.shtml,Ossenberg,DE,Германия,"Cobalt 18, США",США,proprietary,country_mismatch;maker_mismatch
S12-1-2-3,https://zknives.com/knives/steels/s12-1-2-3.shtml,Ossenberg,DE,Германия,,,,missing_standard
1.3211,https://zknives.com/knives/steels/1.3211.shtml,Ossenberg,DE,Германия,"DIN 1.3211, Германия",Германия,government,expected_proprietary_got_government
HS12-1-2-3,https://zknives.com/knives/steels/hs12-1-2-3.shtml,Ossenberg,DE,Германия,,,,missing_standard
Cobalt 3,https://zknives.com/knives/steels/cobalt_3.shtml,Ossenberg,DE,Германия,"Cobalt 3, США",США,proprietary,country_mismatch;maker_mismatch
Vanax 75,https://zknives.com/knives/steels/vanax_75.shtml,Bohler-Uddeholm,SE,Швеция,"Vanax 75, Швеция",Швеция,proprietary,maker_mismatch
F2,https://zknives.com/knives/steels/f2.shtml,,US,США,,,,missing_standard
